id_aluno,idade,sexo,renda_familiar,escolaridade_mae,turno,trabalha,acesso_internet,computador_casa,transporte_escolar,distancia_escola_km,frequencia_percent,faltas,atrasos,horas_estudo_dia,participacao_aulas,atividades_entregues_percent,apoio_familiar,reprovacoes_anteriores,nota_matematica,nota_portugues,nota_ciencias,nota_humanas,media,situacao_final,split_sugerido
10,14,F,baixa,medio,Manha,Sim,Sim,Nao,Nao,5.8,77.1,17,7,2.8,77.3,89.1,58.8,1,8.2,9.5,6.2,8.1,8.0,Aprovado,teste
18,17,M,media,fundamental,Manha,Sim,Sim,Sim,Sim,6.6,68.9,10,0,1.7,93.7,86.0,59.1,0,6.5,8.6,5.5,7.4,7.0,Aprovado,teste
33,17,M,media,fundamental,Tarde,Nao,Sim,Sim,Nao,2.3,88.7,7,9,1.9,97.5,79.6,52.9,0,8.1,5.8,5.8,8.8,7.12,Aprovado,teste
62,15,M,alta,medio,Tarde,Nao,Sim,Nao,Sim,2.1,85.8,7,7,3.0,96.5,82.6,63.2,0,7.3,6.7,8.5,8.2,7.68,Aprovado,teste
73,15,F,alta,medio,Noite,Nao,Sim,Nao,Sim,8.7,57.4,21,12,0.7,65.0,90.5,42.7,1,5.7,7.5,2.7,5.1,5.25,Reprovado,teste
91,14,F,baixa,fundamental,Manha,Nao,Sim,Nao,Sim,1.1,90.5,1,8,3.0,74.2,100.0,21.0,1,8.0,7.8,8.8,9.1,8.43,Aprovado,teste
107,15,M,media,medio,Manha,Nao,Sim,Nao,Sim,3.1,100.0,11,4,1.9,77.8,85.4,73.3,0,,5.4,8.3,7.5,6.88,Aprovado,teste
109,17,F,media,superior,Manha,Nao,Sim,Sim,Nao,0.9,86.9,13,6,2.1,91.6,74.1,78.1,0,7.3,7.3,4.8,9.1,7.12,Aprovado,teste
118,17,M,media,medio,Manha,Sim,Sim,Nao,Sim,4.0,56.4,7,10,1.2,55.2,42.2,68.5,1,4.7,6.3,6.7,6.8,6.12,Reprovado,teste
130,15,M,baixa,medio,Manha,Nao,Sim,Sim,Sim,0.2,78.9,15,7,3.7,84.5,100.0,89.9,0,7.1,9.2,6.7,8.7,7.92,Reprovado,teste
155,16,M,alta,superior,Manha,Nao,Sim,Nao,Nao,4.2,87.8,3,1,3.2,73.4,77.0,62.1,0,7.6,6.5,6.9,7.4,7.1,Reprovado,teste
160,16,M,baixa,superior,Noite,Sim,Sim,Sim,Sim,1.9,89.1,28,17,0.6,57.1,61.2,91.5,1,4.8,6.7,9.0,2.8,5.82,Aprovado,teste
162,17,M,alta,fundamental,Tarde,Nao,Sim,Nao,Nao,1.8,60.2,14,9,0.5,37.8,72.6,82.6,2,7.2,5.8,4.6,3.3,5.22,Reprovado,teste
174,19,M,media,fundamental,Noite,Nao,Sim,Sim,Nao,2.4,75.9,21,6,1.0,45.3,67.5,51.2,0,6.8,3.4,3.8,3.7,4.42,Reprovado,teste
178,17,M,alta,superior,Noite,Nao,Sim,Nao,Nao,4.4,89.2,8,8,1.3,79.9,44.2,71.9,3,6.1,5.0,6.7,8.0,6.45,Reprovado,teste
188,15,F,baixa,fundamental,Tarde,Nao,Nao,Nao,Sim,0.2,84.2,4,4,1.4,64.8,83.7,74.3,0,9.3,9.2,7.0,7.2,8.18,Aprovado,teste
191,16,M,media,fundamental,Tarde,Nao,Sim,Sim,Sim,8.4,67.1,15,9,0.0,59.4,39.8,33.1,0,5.0,4.1,5.2,4.3,4.65,Aprovado,teste
194,16,F,baixa,medio,Tarde,Nao,Sim,Nao,Sim,4.5,94.4,23,15,0.8,47.5,74.0,62.7,0,6.7,5.4,5.0,5.8,5.72,Reprovado,teste
195,15,F,baixa,medio,Manha,Nao,Sim,Sim,Sim,7.7,76.3,4,2,3.8,65.6,63.9,74.6,1,6.0,7.0,7.4,7.9,7.07,Aprovado,teste
204,16,M,baixa,medio,Noite,Nao,Nao,Sim,Nao,3.9,83.5,5,3,2.3,74.7,87.3,88.8,0,9.4,6.1,8.5,8.6,8.15,Aprovado,teste
206,16,M,media,fundamental,Manha,Nao,Sim,Sim,Nao,2.8,68.0,6,10,1.1,86.7,88.9,78.8,2,4.8,7.2,7.3,9.0,7.08,Aprovado,teste
210,16,F,baixa,fundamental,Tarde,Nao,Nao,Nao,Nao,3.5,85.2,9,1,2.1,74.6,95.5,38.0,0,4.3,5.6,7.5,7.0,6.1,Aprovado,teste
214,16,M,alta,fundamental,Manha,Nao,Sim,Sim,Sim,10.7,68.0,30,7,1.4,63.4,53.3,72.6,0,5.7,6.9,3.8,5.1,5.38,Aprovado,teste
219,17,M,media,fundamental,Manha,Nao,Nao,Nao,Nao,6.8,64.4,24,3,1.6,58.2,59.0,25.0,0,4.4,4.7,7.6,5.9,5.65,Reprovado,teste
220,15,M,media,fundamental,Manha,Sim,Sim,Nao,Nao,3.6,93.4,10,0,2.5,75.5,81.4,60.0,1,6.4,8.7,8.2,6.5,7.45,Aprovado,teste
228,15,F,media,medio,Tarde,Sim,Sim,Nao,Sim,4.1,84.0,11,3,1.4,89.3,74.5,47.8,0,6.3,7.6,6.3,9.1,7.32,Aprovado,teste
231,15,F,baixa,medio,Noite,Nao,Sim,Sim,Nao,3.2,85.1,10,0,2.9,63.6,92.1,95.6,1,7.6,7.8,6.9,8.3,7.65,Aprovado,teste
235,15,M,media,superior,Manha,Nao,Sim,Sim,Nao,3.7,89.2,15,17,1.7,58.9,56.3,26.9,1,5.7,5.4,6.1,5.5,5.68,Reprovado,teste
236,14,M,baixa,medio,Manha,Sim,Sim,Sim,Sim,2.7,76.2,21,15,1.6,86.7,62.5,59.3,0,5.4,6.4,6.3,7.1,6.3,Reprovado,teste
245,14,M,media,medio,Manha,Nao,Sim,Nao,Nao,0.6,100.0,1,1,1.9,84.8,80.6,81.4,0,8.8,8.6,6.1,8.8,8.07,Aprovado,teste
251,19,F,baixa,superior,Tarde,Nao,Nao,Nao,Sim,5.7,71.4,17,13,1.9,71.1,60.5,25.6,1,5.9,5.9,5.1,5.6,5.62,Reprovado,teste
254,14,F,alta,medio,Manha,Nao,Sim,Sim,Nao,2.6,86.2,3,0,1.9,83.9,80.6,52.0,0,6.6,6.9,9.0,8.3,7.7,Aprovado,teste
255,18,F,baixa,superior,Manha,Nao,Sim,Nao,Sim,2.2,90.7,16,4,2.6,86.1,83.5,90.6,0,8.0,8.3,8.1,8.8,8.3,Aprovado,teste
279,18,M,alta,medio,Manha,Nao,Sim,Nao,Nao,3.7,63.8,29,4,0.4,42.5,61.4,65.5,0,3.7,7.8,5.6,3.7,5.2,Reprovado,teste
280,18,M,media,superior,Noite,Nao,Sim,Sim,Nao,6.5,86.9,21,9,0.9,88.4,48.3,52.9,1,4.8,5.4,4.8,5.4,5.1,Reprovado,teste
292,15,M,media,medio,Tarde,Nao,Sim,Sim,Sim,5.2,77.3,7,9,1.3,90.1,96.6,52.6,2,7.9,8.3,6.7,9.5,8.1,Aprovado,teste
294,16,M,media,fundamental,Noite,Nao,Sim,Sim,Nao,1.5,90.1,3,1,4.0,82.5,,63.8,0,9.1,6.7,6.4,7.8,7.5,Aprovado,teste
309,17,M,alta,fundamental,Noite,Nao,Sim,Nao,Sim,1.5,83.4,9,1,3.2,93.5,79.4,49.2,0,6.5,8.5,9.1,7.7,7.95,Aprovado,teste
312,15,F,baixa,fundamental,Manha,Nao,Sim,Sim,Nao,3.4,75.2,8,7,1.6,54.6,82.6,56.0,1,7.9,8.6,6.4,9.0,7.98,Aprovado,teste
314,17,F,baixa,superior,Manha,Nao,Sim,Nao,Nao,6.9,78.3,9,7,0.0,77.9,97.9,69.6,0,7.5,5.7,5.9,8.6,6.93,Aprovado,teste
315,17,M,alta,superior,Manha,Nao,Nao,Sim,Sim,0.7,84.6,8,2,2.3,83.4,92.3,73.5,0,6.5,7.5,8.5,6.8,7.32,Reprovado,teste
324,13,F,baixa,fundamental,Tarde,Nao,Sim,Sim,Nao,2.5,84.3,7,6,2.0,70.6,92.9,58.5,0,7.1,7.8,7.6,6.5,7.25,Aprovado,teste
327,18,M,media,medio,Noite,Sim,Nao,Nao,Sim,5.1,74.5,22,18,1.2,53.5,72.4,55.1,0,6.9,4.7,5.8,4.9,5.58,Reprovado,teste
338,16,F,baixa,fundamental,Noite,Sim,Sim,Nao,Sim,8.6,77.5,29,11,0.6,23.4,29.7,39.2,0,3.8,4.2,4.7,5.7,4.6,Reprovado,teste
352,17,F,media,superior,Tarde,Nao,Nao,Nao,Sim,5.3,77.8,8,4,1.4,85.6,87.7,85.4,0,9.2,7.7,5.8,7.9,7.65,Reprovado,teste
354,15,M,media,fundamental,Manha,Sim,Sim,Sim,Nao,4.6,82.3,7,0,2.2,100.0,84.1,69.0,0,6.7,6.2,7.0,7.9,6.95,Aprovado,teste
356,15,F,media,fundamental,Tarde,Sim,Nao,Sim,Nao,3.6,81.1,6,7,2.1,74.1,94.8,71.0,0,4.2,6.7,8.0,7.3,6.55,Aprovado,teste
370,16,F,baixa,fundamental,Noite,Nao,Sim,Sim,Sim,7.6,73.3,25,12,0.0,95.4,55.4,99.4,0,4.7,5.0,4.2,5.3,4.8,Aprovado,teste
374,17,F,media,fundamental,Manha,Nao,Nao,Nao,Nao,2.0,95.2,13,0,2.3,70.7,100.0,68.2,0,6.4,6.7,6.3,6.7,6.52,Aprovado,teste
380,15,F,baixa,fundamental,Manha,Sim,Sim,Sim,Nao,8.6,73.8,21,8,0.9,70.0,65.5,52.9,0,5.6,5.8,4.8,4.0,5.05,Reprovado,teste
384,15,F,media,medio,Manha,Sim,Sim,Nao,Sim,5.0,73.1,14,0,2.7,90.3,78.0,64.9,0,6.9,8.1,7.1,8.4,7.62,Aprovado,teste
385,17,M,media,medio,Tarde,Nao,Sim,Nao,Nao,5.1,72.4,0,7,1.7,62.3,74.2,78.7,0,8.1,7.3,7.1,7.8,7.58,Aprovado,teste
397,15,F,media,fundamental,Manha,Nao,Nao,Nao,Sim,7.4,93.7,24,9,0.6,60.9,57.8,31.8,2,5.0,3.7,5.9,5.7,5.08,Reprovado,teste
399,15,F,media,superior,Tarde,Sim,Nao,Sim,Nao,3.9,83.4,13,7,2.6,73.0,77.2,62.3,0,5.0,8.0,6.9,8.4,7.07,Aprovado,teste
405,14,M,media,medio,Manha,Nao,Sim,Nao,Sim,6.3,64.4,25,14,0.3,40.6,74.4,50.1,1,5.6,4.3,4.5,6.5,5.22,Aprovado,teste
406,16,M,media,medio,Manha,Sim,Sim,Nao,Sim,5.8,79.2,29,6,2.7,91.8,60.7,56.5,1,4.9,7.7,1.5,5.9,5.0,Reprovado,teste
