id_aluno,idade,sexo,renda_familiar,escolaridade_mae,turno,trabalha,acesso_internet,computador_casa,transporte_escolar,distancia_escola_km,frequencia_percent,faltas,atrasos,horas_estudo_dia,participacao_aulas,atividades_entregues_percent,apoio_familiar,reprovacoes_anteriores,nota_matematica,nota_portugues,nota_ciencias,nota_humanas,media,situacao_final,split_sugerido
1,16,F,media,medio,Manha,Nao,Sim,Nao,Sim,4.1,63.0,19,9,0.6,71.3,60.4,61.0,0,5.7,4.9,4.6,7.3,5.62,Reprovado,treino
2,16,F,alta,medio,Manha,Nao,Sim,Nao,Nao,2.7,81.4,11,15,1.2,86.9,88.7,74.4,0,6.5,7.5,5.4,9.1,7.12,Aprovado,treino
3,15,F,media,medio,Noite,Nao,Sim,Nao,Nao,2.2,73.0,20,23,0.4,83.9,72.0,51.0,0,6.6,4.5,5.8,5.6,5.62,Reprovado,treino
4,17,M,media,fundamental,Tarde,Nao,Nao,Sim,Sim,8.7,57.5,11,4,2.6,29.9,56.1,22.4,0,2.2,5.0,5.5,4.6,4.32,Reprovado,treino
5,13,F,media,medio,Noite,Nao,Sim,Sim,Nao,2.3,72.7,7,5,2.9,83.8,92.8,83.6,1,9.2,10.0,5.9,8.2,8.32,Aprovado,treino
6,17,F,baixa,medio,Manha,Nao,Sim,Sim,Nao,1.9,81.6,20,11,0.7,52.7,87.0,34.9,0,7.4,3.5,5.8,5.9,5.65,Reprovado,validacao
7,16,F,alta,superior,Tarde,Sim,Sim,Nao,Nao,0.6,80.0,12,17,2.1,40.4,50.4,57.7,0,6.7,7.0,4.9,6.1,6.18,Aprovado,validacao
8,18,M,baixa,superior,Manha,Nao,Nao,Sim,Nao,3.9,71.3,29,10,0.8,20.8,38.3,72.8,0,5.0,6.0,5.1,5.9,5.5,Reprovado,treino
9,15,M,baixa,fundamental,Manha,Nao,Sim,Sim,Nao,4.7,70.4,5,8,3.5,80.8,92.4,53.9,1,7.6,7.2,8.2,7.1,7.52,Aprovado,treino
11,16,M,media,medio,Manha,Nao,Sim,Nao,Nao,2.2,87.0,16,3,2.9,81.7,89.7,64.3,0,7.2,9.8,7.8,8.8,8.4,Reprovado,treino
12,15,F,baixa,medio,Noite,Nao,Nao,Sim,Nao,5.2,65.6,24,13,0.9,100.0,64.8,30.6,0,4.8,7.1,5.3,6.1,5.82,Reprovado,treino
13,17,M,media,fundamental,Tarde,Nao,Sim,Nao,Nao,6.5,76.2,14,2,2.2,92.3,76.2,73.1,0,6.1,9.0,6.6,8.8,7.62,Aprovado,treino
14,15,F,media,medio,Manha,Nao,Sim,Nao,Sim,5.3,74.8,2,11,1.0,64.7,27.4,70.8,2,3.9,4.9,7.5,6.2,5.62,Reprovado,treino
